Type,Name,Street,City,State,Zip,Hours of Operation,Area Served,Deliveries?,Diapers Offered?,Drive Thru?,Contact,Phone,Email,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,Unit Type,Unit Number,City,State,County,Zip,Country,Source
Summer Meal Sites,Phelps Park,600 State St,Binghamton,NY,13901,"July 10th - August 11th, Monday - Friday: Bfast 9:00-9:30 AM  Lunch: 12:30 - 1:00 PM",,,,,,,,42.117401,-75.896974,1,range_interpolation,600,State St,,,Binghamton,NY,Broome County,13901,US,TIGER/Line® dataset from the US Census Bureau
Summer Meal Sites,Police Athletic Leagues,536 Stratmill Rd,Binghamton,NY,13904,"July 10th - August 11th, Monday - Friday: Bfast 9:15-10:15 AM  Lunch: 12:15 - 1:15 PM",,,,,,,,42.138673,-75.82682,1,rooftop,536,Stratmill Rd,,,Binghamton,NY,Broome County,13904,US,Broome
Summer Meal Sites,Saratoga Community Center,60 Saratoga Ave,Binghamton,Ny,13903,"July 5th - August 25th, Monday - Friday:  Bfast: 10:00 - 11:00 AM  Lunch:  1:30 - 2:00 PM",,,,,,,,42.098466,-75.877946,1,rooftop,60,Saratoga Ave,,,Binghamton,NY,Broome County,13903,US,Broome
Summer Meal Sites,Susq. Valley High School,1040 Conklin Rd,Conklin ,NY ,13748,"July 10th - August 3rd,  Monday-Thursday:  Bfast 8:45-9:15 AM  Lunch 12:30 - 1:00 PM",,,,,,,,42.077289,-75.823958,1,rooftop,1040,Conklin Rd,,,Conklin,NY,Broome County,13748,US,Broome
Summer Meal Sites,Thomas Jefferson Elem. School,151 Helen St,Binghamton,NY,13905,"July 10th - August 3rd,  Monday-Thursday:  Bfast 8:30-9:00 AM  Lunch 12:00 - 12:30 PM",,,,,,,,42.104959,-75.939764,1,rooftop,151,Helen St,,,Binghamton,NY,Broome County,13905,US,Broome
Summer Meal Sites,Webster Street Park,95 Jackson St,Binghamton,NY,13903,"July 5th - August 11th, Monday - Friday:  Bfast:  9:00 - 9:30 AM  Lunch:  11:30 AM - 12:00 PM",,,,,,,,42.098688,-75.89176,1,range_interpolation,95,Jackson St,,,Binghamton,NY,Broome County,13903,US,TIGER/Line® dataset from the US Census Bureau
Summer Meal Sites,West Family Branch YMCA,740 Main St,Johnson City,NY  ,13790,"July 5th - August 25th, Monday - Friday:  Bfast: 8:00 - 9:15 AM  Lunch:  11:30 - 12:30 PM",,,,,,,,42.116395,-75.978378,1,rooftop,740,Main St,,,Johnson City,NY,Broome County,13790,US,Broome
Summer Meal Sites,West Middle School,West Middle Ave,Binghamton,NY,13905,"July 10th - August 3rd,  Monday-Thursday:  Bfast 8:30-9:00 AM  Lunch 12:00 - 12:30 PM",,,,,,,,42.173709,-75.922159,0.5,place,,,,,Binghamton,NY,Broome County,13905,US,TIGER/Line® dataset from the US Census Bureau
Summer Meal Sites,Family Enrichment Network,24 Cherry St,Johnson City,NY,13790,"July 12th - August 18th, Monday-Friday:  Bfast 8:00-8:30AM, Lunch 11:30 - 12:30 PM *We serve any adult who is accompanying a child to the meal site",,,,,,,,42.109698,-75.955871,1,rooftop,24,Cherry St,,,Johnson City,NY,Broome County,13790,US,Broome
Summer Meal Sites,Catholic Charties,100 Main St,Binghamton,NY,13905,"June 26th - August 4th, Monday - Friday:  M,W,TH, F:  9-11:30 & 1-3:30  Tuesdays 1-3:30  GRAB AND GO!  Children Birth-17   Must reside in Broome.  1 food bag per week per child.",,,,,,,,42.100977,-75.925671,1,rooftop,100,Main St,,,Binghamton,NY,Broome County,13905,US,Broome
